time_s,frame,ch0_mv,ch1_mv,ch2_mv,ch3_mv,ch4_mv,ch5_mv,ch6_mv,ch7_mv,status
-59.999,4393747,-2448.16154,-2500,-2500,2499.9997,18.2315707,-4.15831804,2499.9997,-2.01195478,7
-59.998,4393748,-2437.61778,-2500,-2500,2499.9997,18.1305408,-3.901124,2499.9997,-1.92701817,7
-59.997,4393749,-2413.31249,-2500,-2500,2499.9997,18.0986524,-3.94552946,2499.9997,-2.16156244,7
-59.996,4393750,-2392.77422,-2500,-2500,2499.9997,18.0912018,-3.91244888,2499.9997,-2.25394964,7
-59.995,4393751,-2410.62373,-2500,-2500,2499.9997,18.0521607,-3.82483006,2499.9997,-2.42620707,7
-59.994,4393752,-2452.13777,-2500,-2500,2499.9997,18.132329,-3.67999077,2499.9997,-2.17050314,7
-59.993,4393753,-2470.25043,-2500,-2500,2499.9997,18.0527568,-3.56823206,2499.9997,-2.05278397,7
-59.992,4393754,-2468.40715,-2500,-2500,2499.9997,17.9091096,-3.6367774,2499.9997,-2.13891268,7
-59.991,4393755,-2466.79604,-2500,-2500,2499.9997,18.2002783,-3.72350216,2499.9997,-2.07811594,7
-59.99,4393756,-2472.37295,-2500,-2500,2499.9997,18.1719661,-3.75449657,2499.9997,-2.14278698,7
-59.989,4393757,-2488.02722,-2500,-2500,2499.9997,18.0470943,-4.04924154,2499.9997,-2.17497349,7
-59.988,4393758,-2500,-2500,-2500,2499.9997,18.1227922,-4.00483608,2499.9997,-2.10553408,7
-59.987,4393759,-2500,-2500,-2500,2499.9997,18.2795525,-4.09066677,2499.9997,-1.87546015,7
-59.986,4393760,-2474.77144,-2500,-2500,2499.9997,18.1791186,-4.00602818,2499.9997,-1.745224,7
-59.985,4393761,-2450.49864,-2500,-2500,2499.9997,18.0229545,-3.96609306,2499.9997,-1.82330608,7
-59.984,4393762,-2448.94415,-2500,-2500,2499.9997,18.0205703,-3.85284424,2499.9997,-1.72197819,7
-59.983,4393763,-2450.66673,-2500,-2500,2499.9997,17.8852677,-3.69787216,2499.9997,-1.62780285,7
-59.982,4393764,-2443.77553,-2500,-2500,2499.9997,17.8527832,-3.8126111,2499.9997,-1.59531832,7
-59.981,4393765,-2428.02471,-2500,-2500,2499.9997,17.9466605,-3.67850065,2499.9997,-1.60872936,7
-59.98,4393766,-2399.8785,-2500,-2500,2499.9997,17.798245,-3.65495682,2499.9997,-1.71422958,7
-59.979,4393767,-2389.57047,-2500,-2500,2499.9997,17.8202987,-3.83973122,2499.9997,-1.63674355,7
-59.978,4393768,-2419.10219,-2500,-2500,2499.9997,18.0217624,-4.06950712,2499.9997,-1.61856413,7
-59.977,4393769,-2457.31145,-2500,-2500,2499.9997,18.0068612,-3.90380621,2499.9997,-1.49101019,7
-59.976,4393770,-2467.88681,-2500,-2500,2499.9997,18.1132555,-3.8087368,2499.9997,-1.67608261,7
-59.975,4393771,-2466.13562,-2500,-2500,2499.9997,18.081665,-3.8459897,2499.9997,-1.78426504,7
-59.974,4393772,-2468.86939,-2500,-2500,2499.9997,18.1809068,-3.81290913,2499.9997,-1.86800957,7
-59.973,4393773,-2477.5669,-2500,-2500,2499.9997,18.2268023,-3.76433134,2499.9997,-1.87069178,7
-59.972,4393774,-2499.03411,-2500,-2500,2499.9997,18.1335211,-3.99202108,2499.9997,-1.75327063,7
-59.971,4393775,-2500,-2500,-2500,2499.9997,18.1472301,-4.07367945,2499.9997,-1.79737806,7
-59.97,4393776,-2500,-2500,-2500,2499.9997,18.2560086,-4.11003828,2499.9997,-1.82300806,7
-59.969,4393777,-2464.90985,-2500,-2500,2499.9997,18.1302428,-4.119277,2499.9997,-1.92224979,7
-59.968,4393778,-2448.63272,-2500,-2500,2499.9997,18.055737,-4.0858984,2499.9997,-1.97887421,7
-59.967,4393779,-2449.23025,-2500,-2500,2499.9997,18.1031227,-4.22179699,2499.9997,-1.98960304,7
-59.966,4393780,-2447.3691,-2500,-2500,2499.9997,17.9302692,-3.89158726,2499.9997,-2.0724535,7
-59.965,4393781,-2439.17555,-2500,-2500,2499.9997,17.9088116,-4.00096178,2499.9997,-2.07871199,7
-59.964,4393782,-2419.51019,-2500,-2500,2499.9997,17.7922845,-3.85671854,2499.9997,-1.95294619,7
-59.963,4393783,-2391.93618,-2500,-2500,2499.9997,17.6355243,-3.81916761,2499.9997,-1.65581703,7
-59.962,4393784,-2394.45388,-2500,-2500,2499.9997,17.7061558,-3.86059284,2499.9997,-1.61707401,7
-59.961,4393785,-2431.81676,-2500,-2500,2499.9997,17.7252293,-3.97264957,2499.9997,-1.72525644,7
-59.96,4393786,-2459.84793,-2500,-2500,2499.9997,17.8161263,-3.93867493,2499.9997,-1.92910433,7
-59.959,4393787,-2461.86495,-2500,-2500,2499.9997,17.7899003,-3.94403934,2499.9997,-2.0506978,7
-59.958,4393788,-2458.68355,-2500,-2500,2499.9997,17.8331137,-3.96132469,2499.9997,-2.25782394,7
-59.957,4393789,-2464.20771,-2500,-2500,2499.9997,17.7767873,-3.96847725,2499.9997,-2.46971846,7
