time_s,frame,ch0_mv,ch1_mv,ch2_mv,status
-59.999,427788,-2405.6527,1175.50015,-1680.58962,1
-59.998,427789,-2426.48482,1172.37002,-1681.49799,1
-59.997,427790,-2429.55953,1172.67966,-1678.90191,1
-59.996,427791,-2403.57786,1173.83152,-1674.88843,1
-59.995,427792,-2380.90277,1175.21971,-1673.65402,1
-59.994,427793,-2378.78561,1177.87927,-1675.933,1
-59.993,427794,-2379.79174,1177.27637,-1678.48229,1
-59.992,427795,-2374.86124,1176.74828,-1680.46445,1
-59.991,427796,-2362.25069,1177.30975,-1680.26626,1
-59.99,427797,-2338.94825,1179.55476,-1678.8736,1
-59.989,427798,-2326.94119,1181.38969,-1681.40978,1
-59.988,427799,-2348.44446,1180.41605,-1685.81396,1
-59.987,427800,-2379.95028,1178.51585,-1688.51405,1
-59.986,427801,-2388.03804,1176.71639,-1686.59508,1
-59.985,427802,-2385.57547,1176.6091,-1684.34173,1
-59.984,427803,-2385.8878,1177.53685,-1685.48793,1
-59.983,427804,-2393.67187,1176.02497,-1683.98172,1
-59.982,427805,-2412.41127,1172.98931,-1684.05622,1
-59.981,427806,-2429.90553,1170.18402,-1683.15083,1
-59.98,427807,-2420.40157,1170.71271,-1678.4519,1
-59.979,427808,-2390.61296,1174.35366,-1674.39997,1
-59.978,427809,-2375.36371,1176.68122,-1676.29808,1
-59.977,427810,-2375.59319,1177.76603,-1679.17162,1
-59.976,427811,-2376.48487,1177.07133,-1680.16165,1
-59.975,427812,-2372.53338,1177.30558,-1680.71747,1
-59.974,427813,-2355.8864,1179.2919,-1680.45729,1
-59.973,427814,-2332.4731,1182.96206,-1679.88479,1
-59.972,427815,-2333.00179,1183.48211,-1682.52647,1
-59.971,427816,-2363.17903,1181.17154,-1686.90622,1
-59.97,427817,-2388.00377,1178.7945,-1686.34236,1
-59.969,427818,-2390.2145,1177.26982,-1685.22805,1
-59.968,427819,-2387.09748,1177.20634,-1683.73019,1
-59.967,427820,-2389.72723,1176.65052,-1683.23636,1
-59.966,427821,-2396.97516,1173.62142,-1682.98185,1
-59.965,427822,-2416.59403,1170.71241,-1684.83734,1
-59.964,427823,-2427.05911,1169.20441,-1682.78635,1
-59.963,427824,-2407.72247,1169.44492,-1677.13583,1
-59.962,427825,-2380.40358,1171.88871,-1675.87489,1
-59.961,427826,-2373.16519,1176.29468,-1677.01989,1
-59.96,427827,-2374.58229,1177.88076,-1677.73843,1
-59.959,427828,-2374.49229,1176.47827,-1678.65932,1
-59.958,427829,-2366.0925,1177.8143,-1680.08536,1
-59.957,427830,-2344.25187,1180.63122,-1680.52882,1
-59.956,427831,-2325.71185,1181.89663,-1681.66637,1
-59.955,427832,-2339.32614,1181.09256,-1684.8734,1
-59.954,427833,-2374.44341,1181.19389,-1687.91622,1
-59.953,427834,-2392.15016,1180.00031,-1685.84466,1
-59.952,427835,-2391.39616,1178.30843,-1683.17586,1
-59.951,427836,-2391.88135,1177.60122,-1682.87575,1
-59.95,427837,-2394.88184,1177.63221,-1682.20162,1
-59.949,427838,-2406.00735,1175.05163,-1683.25067,1
-59.948,427839,-2425.92067,1171.85831,-1683.85655,1
-59.947,427840,-2426.31346,1170.84891,-1679.62313,1
-59.946,427841,-2398.44769,1172.24038,-1675.07052,1
-59.945,427842,-2377.33275,1173.91437,-1675.46004,1
-59.944,427843,-2374.96614,1176.22852,-1677.11228,1
-59.943,427844,-2376.21397,1175.85391,-1679.41421,1
-59.942,427845,-2372.04075,1176.5489,-1681.08761,1
-59.941,427846,-2359.98631,1178.13587,-1681.75429,1
-59.94,427847,-2334.24366,1179.96395,-1680.27103,1
-59.939,427848,-2325.48088,1181.41472,-1682.82807,1
-59.938,427849,-2346.91203,1179.81404,-1687.86764,1
-59.937,427850,-2378.41338,1178.54863,-1688.8535,1
-59.936,427851,-2388.42547,1176.4577,-1686.40345,1
-59.935,427852,-2387.36421,1176.67943,-1684.79413,1
-59.934,427853,-2388.99022,1177.41853,-1683.05129,1
-59.933,427854,-2396.31623,1176.37038,-1682.16497,1
-59.932,427855,-2414.26289,1174.66897,-1681.96112,1
-59.931,427856,-2431.80096,1172.49012,-1680.99135,1
-59.93,427857,-2421.40591,1172.674,-1678.50673,1
-59.929,427858,-2391.66558,1174.39181,-1674.50517,1
-59.928,427859,-2377.39056,1176.97507,-1675.85641,1
-59.927,427860,-2377.6421,1177.60837,-1677.31166,1
-59.926,427861,-2377.25824,1176.25058,-1679.45296,1
-59.925,427862,-2371.4745,1176.58645,-1680.12261,1
-59.924,427863,-2356.24939,1179.13425,-1680.24272,1
-59.923,427864,-2332.04931,1181.58221,-1679.98195,1
-59.922,427865,-2330.41674,1181.88679,-1683.33769,1
-59.921,427866,-2360.67951,1179.4591,-1688.03036,1
-59.92,427867,-2384.39858,1176.33373,-1687.66767,1
-59.919,427868,-2387.48461,1175.72427,-1685.54842,1
-59.918,427869,-2384.55385,1175.28409,-1684.46392,1
-59.917,427870,-2387.73346,1175.51535,-1683.65926,1
-59.916,427871,-2397.47137,1175.23193,-1682.81853,1
-59.915,427872,-2418.1056,1172.00613,-1683.21937,1
-59.914,427873,-2427.47396,1171.05365,-1680.94456,1
