Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C9",0805,7,10u,C15850
"C10, C17, C2, C20, C22, C25, C27, C3, C30, C31, C4",0603,11,100n,C14663
"C16, C19, C21, C24, C26, C29",1206,6,4u7,C29823
"C18, C23, C28",0603,3,220n,C21120
"C5, C6",1206,2,10u,C13585
C7,0805,1,220n,C5378
C8,0603,1,1n,C1588
D1,D_SOD-323,1,1N4148WS,C2128
"Q1, Q4, Q5, Q7, Q9",SOT-89-3,5,D882,C9634
"Q10, Q3, Q6, Q8",SOT-89-3,4,B772,C24278
Q2,SO-8_3.9x4.9mm_P1.27mm,1,DMC3028LSD,C460874
R1,0603,1,20k,C4184
"R10, R9",0603,2,4k7,
"R11, R12, R14, R15, R6, R7",0603,6,100,C22775
"R13, R16, R26, R8",1206,4,20,C17955
"R17, R19, R20, R22, R23, R25, R3, R4, R5",0603,9,1k,C21190
"R18, R21, R24",0603,3,"48,7",C2692820
R2,2512,1,220,C17557
"RN1, RN2, RN3",R_Array_Convex_4x0612,3,10k,C29718
U3,SOIC-14_3.9x8.7mm_P1.27mm,1,LM324DT,C71035
U4,MSOP-10_3x3mm_P0.5mm,1,MCP4728,C108207
"U5, U6, U7",VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm,3,INA851RGTR,C5371575
