Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C17, C23, C36, C51, C60, C62, C66, C7, C72, C91",0805,12,10u,C15850
"C10, C2, C32, C35, C6, C74, C75, C76, C77, C86, C87, C9",1206,12,4u7,C29823
"C100, C101, C11, C12, C14, C16, C21, C33, C34, C37, C38, C39, C40, C41, C42, C43, C50, C53, C54, C56, C64, C67, C71, C79, C8, C80, C81, C82, C83, C84, C85, C88, C90, C96, C97, C98, C99",0603,37,100n,C14663
"C15, C20, C5, C57, C58, C59, C89, C93, C94",0805,9,1u,C28323
"C18, C28, C29, C3, C61, C63, C68, C73",0603,8,10n,C57112
"C19, C30, C44, C45, C47, C48, C49, C52",0603,8,1n,C1588
"C22, C24",1206,2,22u,C12891
"C25, C55, C69",1206,3,47u,C96123
"C26, C78",0603,2,4n7,C53987
"C27, C70",0603,2,10p,C1634
C4,0603,1,22p,C1653
"C46, C65",0603,2,220n,C21120
"C92, C95",0603,2,15p,C1644
"D1, D10, D11, D2, D8, D9",D_SMA,6,SS34,C8678
D12,0805,1,LED,C2296
D3,D_SMB,1,P6SMB6.8CA,C7420377
"D4, D5, D6, D7",D_SOD-523,4,H5VUD5BB,C20615820
FB1,0603,1,FerriteBead,C14709
"J1, J3",CON_550910274_MOL,2,550910274,C114095
J2,CONN_201267-0005_MOL,1,USB_C_RECEPTACLE_MOLEX,C565324
J4,CONN_503398-1892_MOL,1,Micro_SD_CARD,C428492
"L1, L2, L3, L4",L_Sunlord_MWSA0503S,4,10u,C177248
"Q1, Q3",SOT-23,2,AO3400A,C20917
Q2,SOT-23,1,AO3401A,C15127
"R100, R101, R102, R103, R104, R105, R108, R110, R18, R43, R5, R61, R98",0603,13,10k,C25804
"R106, R13, R58, R65, R69, R81",0603,6,1k,C21190
R107,0603,1,68k,C23231
"R109, R17, R23, R32, R38, R4, R52, R55, R56, R59, R7, R73, R76, R78, R8, R80, R88, R91, R94, R96, R97",0603,21,100k,C25803
"R12, R93",0603,2,510k,C23192
"R14, R24, R40",0603,3,200k,C25811
R16,1206,1,90k9,C870933
"R19, R20, R21, R60, R62, R63, R64, R66, R68, R70, R71, R72, R74, R75, R77, R79",0603,16,22,C23345
"R22, R37",0603,2,470k,C23178
"R25, R41, R47, R84",0603,4,39k,C23153
"R27, R45",0603,2,2k,C22975
"R28, R29",0603,2,5k1,C23186
R3,0603,1,49k9,C23184
"R30, R31, R48, R49",0603,4,100,C22775
R42,0603,1,75k,C23242
R44,0603,1,24k,C23352
R50,2512,1,22,C2974113
R57,0603,1,300k,C23024
R6,0603,1,3k6,C22980
R67,0805,1,27k,C17526
"R85, R99",0603,2,12k,C22790
R89,0603,1,330k,C23137
R90,0603,1,10,C22859
TH1,0603,1,NCU18XH103D6SRB,C3154835
U1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TPS61170,C15163
U10,SOT-23-5,1,TPS7A2033PDBVR,C2862740
U11,QFN-64-1EP_9x9mm_P0.5mm_EP7.65x7.65mm,1,AD7779ACPZ,C398822
U12,HVSSOP-8-1EP_3x3mm_P0.65mm_EP1.57x1.89mm,1,TPS7A4901DGNR,C16430
U13,Texas_RGW0020A_VQFN-20-1EP_5x5mm_P0.65mm_EP3.15x3.15mm,1,TPS7A3301RGWR,C90082
U14,VSON-10-1EP_3x3mm_P0.5mm_EP1.2x2mm,1,TPS63700DRCR,C54792
U15,TSSOP-24_4.4x7.8mm_P0.65mm,1,TS3A27518ERTW,C2651937
U16,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm,1,USB2641-HZH-02,C633596
U17,SCL3300-D01-10_MUR,1,SCL3300-D01-10,C3825395
U19,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSVETR,C41785564
U2,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,1,LT3042xMSE,C580009
U3,SOT-23-5,1,TPS61040DBV,C7722
"U4, U5",SOIC-16_3.9x9.9mm_P1.27mm,2,"74HC595D,118",C5947
"U7, U8",SMD_VQFN-HR-10,2,TPS25210LRPWR,C2861226
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,TPS54331DR,C9865
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322524MOB4SI,C70590
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,OT2JI-111-8.192M,C7425393
