Designator,Mid X,Mid Y,Rotation,Layer
C1,176.55,-95.975,180.0,top
C10,164.5625,-51.6,270.0,top
C100,203.85,-108.325,90.0,top
C101,199.725,-108.95,0.0,top
C11,176.175,-134.23,90.0,top
C12,238.75,-110.025,90.0,top
C13,240.7,-109.8,90.0,top
C14,173.8,-122.38,180.0,top
C15,219.75,-51.75,90.0,top
C16,217.9,-51.975,90.0,top
C17,211.1,-54.55,270.0,top
C18,216.5,-56.825,270.0,top
C19,213.3,-56.825,270.0,top
C2,171.95,-104.375,90.0,top
C20,189.1375,-76.6875,270.0,top
C21,191.0475,-76.4475,270.0,top
C22,195.525,-91.775,0.0,top
C23,196.784504,-73.61457,90.0,top
C24,186.525,-98.25,270.0,top
C25,199.125,-85.375,180.0,top
C26,199.395,-99.645,0.0,top
C27,198.625,-97.275,90.0,top
C28,188.6,-99.25,270.0,top
C29,190.5375,-73.8875,180.0,top
C3,169.7,-103.475,270.0,top
C30,193.7375,-72.2875,180.0,top
C32,128.4,-125.9,270.0,top
C33,130.5,-125.375,270.0,top
C34,137.4,-125.375,270.0,top
C35,139.5,-125.975,270.0,top
C36,126.65,-98.025,270.0,top
C37,132.9,-100.575,270.0,top
C38,127.2,-93.5,180.0,top
C39,133.575,-86.8,90.0,top
C4,151.4625,-54.8,270.0,top
C40,128.475,-97.8,270.0,top
C41,127.375,-91.625,180.0,top
C42,141.375,-92.475,0.0,top
C43,125.3,-86.425,270.0,top
C44,130.1,-103.0,180.0,top
C45,133.3,-103.0,180.0,top
C46,139.7,-103.0,180.0,top
C47,136.5,-103.0,180.0,top
C48,129.8,-84.0,180.0,top
C49,133.0,-84.0,180.0,top
C5,155.9625,-53.2,0.0,top
C50,144.8,-88.5,90.0,top
C51,146.625,-88.325,90.0,top
C52,138.6,-84.0,180.0,top
C53,134.425,-100.575,270.0,top
C54,135.925,-85.625,0.0,top
C55,135.8,-82.45,90.0,top
C56,128.45,-86.275,180.0,top
C57,141.575,-94.25,0.0,top
C58,127.225,-95.25,180.0,top
C59,127.125,-89.775,180.0,top
C6,134.775,-62.98,0.0,top
C60,137.035,-48.285,90.0,top
C61,126.675,-47.75,270.0,top
C62,130.775,-47.55,0.0,top
C63,136.775,-51.85,270.0,top
C64,168.3,-75.45,90.0,top
C65,173.8,-75.15,180.0,top
C66,153.725,-72.575,0.0,top
C67,153.925,-74.475,0.0,top
C68,144.025,-75.675,270.0,top
C69,145.225,-71.575,180.0,top
C7,138.275,-63.48,270.0,top
C70,178.7,-74.25,0.0,top
C71,153.925,-76.175,0.0,top
C72,169.7,-81.35,0.0,top
C73,181.1,-81.45,0.0,top
C74,181.9,-88.55,0.0,top
C75,177.0,-88.55,180.0,top
C76,181.9,-86.05,0.0,top
C77,181.9,-83.55,0.0,top
C78,170.7,-75.15,0.0,top
C79,232.45,-73.325,0.0,top
C8,140.375,-59.455,90.0,top
C80,228.0,-77.175,270.0,top
C81,223.25,-77.2,270.0,top
