Designator,Mid X,Mid Y,Rotation,Layer
C1,107.55,-51.75,270.0,top
C10,94.125,-84.75,180.0,top
C11,84.2,-69.3,180.0,top
C12,90.2,-66.65,90.0,top
C13,100.15,-76.6,90.0,top
C14,88.45,-63.9,0.0,top
C15,100.15,-73.1,270.0,top
C16,108.1,-63.7,270.0,top
C17,107.7,-59.7,90.0,top
C18,104.7,-67.6,180.0,top
C19,91.225,-39.1,180.0,top
C2,96.975,-39.5,180.0,top
C20,91.975,-37.1,180.0,top
C21,101.3,-63.7,270.0,top
C22,101.7,-59.7,90.0,top
C23,86.7,-42.3,180.0,top
C24,98.7,-63.7,270.0,top
C25,98.3,-59.7,90.0,top
C26,91.0,-29.4,90.0,top
C27,94.0,-30.9,0.0,top
C28,95.3,-67.6,180.0,top
C29,92.5,-64.875,270.0,top
C3,93.0,-42.575,270.0,top
C30,92.3,-59.7,90.0,top
C31,99.725,-70.5,0.0,top
C4,107.2,-48.4,90.0,top
C5,110.8,-46.9,180.0,top
C6,111.425,-49.3,180.0,top
C7,108.45,-37.2,180.0,top
C8,117.1625,-59.5125,90.0,top
C9,82.65,-73.2,90.0,top
D1,115.25,-59.525,270.0,top
Q1,117.33,-39.94,270.0,top
Q10,101.3,-28.6,270.0,top
Q2,111.955,-41.9475,90.0,top
Q3,117.33,-47.0,90.0,top
Q4,117.32,-55.2,90.0,top
Q5,86.6,-46.4,270.0,top
Q6,86.3,-52.1,0.0,top
Q7,82.6,-60.0,0.0,top
Q8,88.5,-60.2,90.0,top
Q9,106.8625,-33.9,90.0,top
R1,95.025,-78.75,180.0,top
R10,104.075,-83.9,180.0,top
R11,83.675,-63.3,0.0,top
R12,90.2,-55.8,270.0,top
R13,91.6,-46.2,0.0,top
R14,108.35,-29.475,270.0,top
R15,97.125,-30.6,0.0,top
R16,102.9,-33.9,270.0,top
R17,105.5,-65.3,270.0,top
R18,104.7,-57.25,180.0,top
R19,103.9,-65.3,270.0,top
R2,112.15,-56.1875,270.0,top
R20,87.5,-39.975,270.0,top
R21,96.91,-34.725,90.0,top
R22,85.9,-39.975,270.0,top
R23,96.1,-65.3,270.0,top
R24,95.3,-57.25,180.0,top
R25,94.5,-65.3,270.0,top
R26,97.05,-70.7625,90.0,top
R3,114.875,-51.3,0.0,top
R4,118.245,-51.3,180.0,top
R5,118.9625,-59.5125,90.0,top
R6,83.0,-50.975,90.0,top
R7,87.4,-55.5,0.0,top
R8,91.6,-49.4,0.0,top
R9,104.075,-82.25,180.0,top
RN1,85.3,-72.9,270.0,top
RN2,87.301,-66.599,180.0,top
RN3,97.75,-74.95,90.0,top
U3,91.8,-73.2775,270.0,top
U4,92.8125,-82.2,90.0,top
U5,104.7,-60.5,270.0,top
U6,93.78,-33.88,180.0,top
U7,95.3,-60.5,270.0,top
